able|способный|['eIbl]
put|класть|[put]|
quality|качество|['kwOlItI]|
quantity|количество|['kwOntItI]|
quarter|четверть|['kwO:tq]|
queen|королева|[kwi:n]|
question|вопрос|['kwestSqn]|
quite|вполне|[kwaIt]|
race|гонка, раса|[reIs]|
rain|дождь|[reIn]|
raise|поднимать|[reIz]|
rank|ранг|[rxNk]|
rate|пропорция|[reIt]|
rather|скорее, весьма|['rQ:Dq]|
reach|достигать|[ri:tS]|
read|грамотный|[ri:d]|
ready|готовый|['redI]|
real|действительный|[reI'Q:l]|
realise|понять|['rIqlaIz]|
really|действительно|['rIqlI]|
reason|разум, смысл, причина|['ri:zn]|
receipt|квитанция, рецепт|[rI'si:t]|
receive|принимать|[rI'si:v]|
recent|недавний|['ri:snt]|
recognize|распознавать|['rekqgnaIz]|
record|запись|[rI'kO:d]|
red|красные|[red]|
reduce|уменьшать|[rI'dju:s]|
refuse|отказывать|['ri:'fju:z]|
regard|внимание|[rI'gQ:d]|
relation|отношение|[rI'leISqn]|
relative|родственный|['relqtIv]|
religion|религия|[rI'lIdZqn]|
remain|оставаться|[rI'meIn]|
remark|замечание|['rI'mQ:k]|
remember|помнить|[rI'membq]|
reply|отвечать|[rI'plaI]|
report|доклад|[rI'pO:t]|
represent|представлять|[,reprI'zent]|
republic|республика|[rI'pAblIk]|
reserve|резерв|[rI'zq:v]|
respect|уважение|[rIs'pekt]|
rest|отдых|[rest]|
result|результат|[rI'zAlt]|
return|возвращаться|[rI'tq:n]|
rich|богатый|[rItS]|
ride|ехать верхом|[raId]|
right|правильный|[raIt]|
ring|кольцо|[rIN]|
rise|подниматься|[raIz]|
river|река|['rIvq]|
road|дорога|[rqud]|
rock|скала, качаться|[rOk]|
roll|свёрток, вращение|[rqul]|
room|комната|[ru:m]|
rough|грубый|[rAf]|
round|круглый|[raund]|
royal|королевский|['rOIql]|
rule|правило|[ru:l]|
run|бег|[rAn]|
safe|невредимый|[seIf]|
sail|парус|[seIl]|
sale|продажа|[seIl]|
salt|соль|[sO:lt]|
same|одинаковый|[seIm]|
Saturday|суббота|['sxtqdI]|
save|спасать|[seIv]|
say|сказать|[seI]|
scarce|скудный|[skFqs]|
scene|сцена|[si:n]|
school|школа|[sku:l]|
science|наука|['saIqns]|
sea|море|[si:]|
season|сезон, время года|['si:zn]|
seat|сиденье|[si:t]|
second|второй|['sekqnd]|
secret|секретный|['si:krIt]|
secretary|секретарь|['sekrqtrI]|
see|видеть|[si:]|
seem|казаться|[si:m]|
sell|продать|[sel]|
send|посылать|[send]|
sense|чувство|[sens]|
sensitive|чувствительный|['sensItIv]|
separate|отдельный|['sepqreIt]|
serious|серьёзный|['sIqrIqs]|
serve|служить|[sq:v]|
service|служба|['sq:vIs]|
set|комплект, установка|[set]|
settle|решать, поселяться|['setl]|
seven|семь|['sevn]|
several|несколько, различный|['sevrql]|
shadow|тень|['Sxdqu]|
shake|встряска|[SeIk]|
shall|образование будущего времени|[Sxl]|
shape|форма|[SeIp]|
share|делить, доля|[SFq]|
she|она|[Si:-]|
shine|сиять|[SaIn]|
ship|корабль|[SIp]|
shoot|побег|[Su:t]|
shore|берег|[SO:]|
short|короткий|[SO:t]|
should|следует|[Sud]|
shoulder|плечо|['Squldq]|
show|показывать, шоу|[Squ]|
side|сторона|[saId]|
sight|зрение|[saIt]|
sign|знак|[saIn]|
silence|тишина|['saIlqns]|
silver|серебро|['sIlvq]|
simple|простой|['sImpl]|
since|с тех пор|[sIns]|
sing|петь|[sIN]|
single|одинокий, холостой|['sINLgl]|
sir|сэр|[sq:]|
sister|сестра|['sIstq]|
sit|сидеть|[sIt]|
situation|ситуация|[,sItju'eISqn]|
six|шесть|[sIks]|
size|размер|[saIz]|
sky|небо|[skaI]|
sleep|сон|[sli:p]|
slow|медленный|[slqu]|
small|маленький|[smO:l]|
smell|запах|[smel]|
smile|улыбка|[smaIl]|
smoke|дым, курение|[smquk]|
snow|снег|[snqu]|
so|так|[squ]|
social|социальный|['squSql]|
society|общество|[sq'saIqtI]|
soft|мягкий|[sOft]|
soldier|солдат|['squldZq]|
some|некоторый|[sAm]|
son|сын|[sAn]|
soon|вскоре|[su:n]|
sort|сорт, вид|[sO:t]|
soul|душа|[squl]|
sound|звук|[saund]|
south|юг|[sauT]|
space|пространство, космос|[speIs]|
speak|говорить|[spi:k]|
special|специальный|['speSql]|
speed|скорость|[spi:d]|
spend|тратить|[spend]|
spirit|душа|['spIrIt]|
spite|злость|[spaIt]|
spot|пятно|[spOt]|
spread|распространять|[spred]|
spring|весна, пружина|[sprIN]|
square|квадрат, сквер, площадь|[skwFq]|
stage|сцена|[steIdZ]|
stand|стоять|[stxnd]|
standard|стандартный|['stxndqd]|
star|звезда|[stQ:]|
start|начало|[stQ:t]|
state|штат|[steIt]|
station|станция|['steISqn]|
stay|оставаться|[steI]|
steel|сталь|[sti:l]|
step|шаг|[step]|
still|тихий|[stIl]|
stock|главный ствол, фонд|[stOk]|
stone|камень|[stqun]|
stop|остановка, перерыв|[stOp]|
store|запас|[stO:]|
story|рассказ|['stO:rI]|
strange|странный|[streIndZ]|
stream|поток|[stri:m]|
street|улица|[stri:t]|
strength|сила|[streNT]|
strike|ударять|[straIk]|
strong|сильный|[strON]|
struggle|борьба|['strAgl]|
student|студент|['stju:dqnt]|
study|изучать|['stAdI]|
subject|тема, сюжет|['sAbdZIkt]|
substance|вещество, существо|['sAbstqns]|
succeed|достигнуть цели|[sqk'si:d]|
such|такой|[sAtS]|
suffer|страдать|['sAfq]|
suggest|предлагать|[sq'dZest]|
summer|лето|['sAmq]|
sun|солнце|[sAn]|
Sunday|воскресенье|['sAndI]|
supply|гибко|[sq'plaI]|
support|поддержка|[sq'pO:t]|
suppose|полагать|[sq'pquz]|
sure|уверенный|[Suq]|
surface|поверхность|['sq:fIs]|
surprise|удивление|[sq'praIz]|
surround|окружать|[sq'raund]|
sweet|сладкий|[swi:t]|
sword|меч|[sO:d]|
system|система|['sIstIm]|
table|стол|['teIbl]|
take|брать|[teIk]|
talk|разговор|[tO:k]|
tax|налог|[txks]|
teach|учить|[ti:tS]|
tear|дыра, рвать|[tFq]|
tell|рассказать|[tel]|
temple|храм, висок|['templ]|
ten|десять|[ten]|
term|срок, семестр|[tq:m]|
test|проверка|[test]|
than|чем|[Dxn]|
the|определенный артикль|[Di:]|
then|тогда|[Den]|
there|там|[DFq]|
therefore|поэтому|['DFqfO:]|
they|они|[DeI]|
thing|вещь|[TIN]|
think|думать|[TINk]|
thirteen|тринадцать|['Tq:'ti:n]|
thirty|тридцать|['Tq:tI]|
this|этот|[DIs]|
though|хотя, несмотря на|[Dqu]|
thousand|тысяча|['Tauzqnd]|
three|три|[Tri:]|
through|через|[Tru:]|
throw|бросать|[Trqu]|
Thursday|четверг|['Tq:zdI]|
thus|таким образом|[DAs]|
till|до|[tIl]|
time|время|[taIm]|
to|к|[tu:]|
today|сегодня|[tq'deI]|
together|вместе|[tq'geDq]|
ton|тонна|[tO:N]|
too|очень, также|[tu:]|
top|верхушка|[tOp]|
total|итог|['tqutl]|
touch|прикосновение|[tAtS]|
toward|грядущий, предстоящий|[tq'wO:d]|
town|город|[taun]|
trade|торговля|[treId]|
train|поезд|[treIn]|
travel|путешествие|['trxvl]|
tree|дерево|[tri:]|
trouble|трудность|['trAbl]|
true|истинный|[tru:]|
trust|вера|[trAst]|
try|стараться|[traI]|
Tuesday|вторник|['tju:zdI]|
turn|поворот|[tq:n]|
twelve|двенадцать|[twelv]|
twenty|двадцать|['twentI]|
two|два|[tu:]|
type|тип, печатать|[taIp]|
under|под|['Andq]|
understand|понимать|[,Andq'stxnd]|
