able|способный|['eIbl]|
familiar|хорошо знакомый|[fq'mIljq]|
family|семья|['fxmIlI]|
famous|известный|['feImqs]|
fan|вентилятор|[fxn]|
fancy|фантазировать|['fxnsI]|
far|далеко|[fQ:]|
farm|ферма|[fQ:m]|
fashion|мода|['fxSqn]|
fast|скорый|[fQ:st]|
fasten|привязывать|['fQ:sn]|
fat|жирный|[fxt]|
fate|рок|[feIt]|
father|отец|['fa:Dq]|
fault|вина|[fO:lt]|
favour|благоприятствовать|['feIvq]|
fear|страх|[fIq]|
feast|празднество|[fi:st]|
feather|перо|['feDq]|
feel|чувствовать|[fi:l]|
fellow|собрат|['felqu]|
female|женский|['fi:meIl]|
fence|фехтовать|[fens]|
fever|лихорадка, жар|['fi:vq]|
few|немного|[fju:]|
field|поле|[fi:ld]|
fierce|свирепый|[fIqs]|
fight|борьба|[faIt]|
figure|фигура|['fIgq]|
fill|пломбировать|[fIl]|
film|фильм|[fIlm]|
find|находить|[faInd]|
fine|тонкий|[faIn]|
finger|палец|['fINgq]|
finish|заканчивать|['fInIS]|
fire|огонь|['faIq]|
firm|фирма|[fq:m]|
first|первый|[fq:st]|
fish|рыба|[fIS]|
fit|пригодный|[fIt]|
five|пять|[faIv]|
fix|укреплять|[fIks]|
flag|флаг|[flxg]|
flame|пламя|[fleIm]|
flash|вспышка|[flxS]|
flat|плоский|[flxt]|
flavour|сорт|['fleIvq]|
flesh|мякоть|[fleS]|
float|плавать|[flqut]|
flood|наводнение|[flAd]|
floor|пол, настил|[flO:]|
flour|мука|['flauq]|
flow|течение|[flqu]|
flower|цветок|['flauq]|
fly|муха|[flaI]|
fold|сгиб|[fquld]|
follow|следовать за|['fOlqu]|
fond|любящий|[fOnd]|
food|пища|[fu:d]|
fool|глупец|[fu:l]|
foot|ступня|[fut]|
for|для, ради|[fO:]|
forbid|запрещать|[fq'bId]|
force|сила|[fO:s]|
foreign|иностранный|['fOrIn]|
forest|лес|['fOrIst]|
forget|забывать|[fq'get]|
forgive|прощать|[fq'gIv]|
fork|вилка|[fO:k]|
form|форма|[fO:m]|
formal|формальный|['fO:mql]|
former|шаблон, бывший|['fO:mq]|
forth|четвертый|[fO:T]|
fortune|счастье, случаться|['fO:tSqn]|
forward|вперед|['fO:wqd]|
four|четыре|[fO:]|
frame|каркас|[freIm]|
free|свободный|[fri:]|
freeze|замораживание|[fri:z]|
frequent|частый|['fri:kwqnt]|
fresh|свежий|[freS]|
Friday|пятница|['fraIdI]|
friend|друг|[frend]|
fright|испугаться|[fraIt]|
from|из, от|[frOm]|
front|передний|[frAnt]|
fruit|фрукт|[fru:t]|
fry|жарить|[fraI]|
full|полный|[ful]|
fun|веселье, забавный|[fAn]|
funeral|похороны|['fju:nqrql]|
fur|мех|[fq:]|
furnish|снабжать|['fq:nIS]|
future|будущий|['fju:tSq]|
gain|доход, приращивать|[geIn]|
gallon|галлон|['gxlqn]|
game|игра|[geIm]|
gap|брешь|[gxp]|
garage|гараж|['gxrQ:Z]|
garden|сад|['gQ:dn]|
gas|газ|[gxs]|
gate|ворота|[geIt]|
gather|собираться|['gxDq]|
gay|гомосексуалист|[geI]|
general|главный|['dZenqrql]|
generous|великодушный|['dZenqrqs]|
gentle|нежный|['dZentl]|
get|получать|[get]|
gift|подарок|[gIft]|
girl|девочка|[gq:l]|
give|давать|[gIv]|
glad|довольный|[glxd]|
glass|стекло|[gla:s]|
glory|слава, гордиться|['glO:rI]|
go|идти|[gquz]|
goat|козёл|[gqut]|
god|бог|[gOd]|
gold|золото|[gquld]|
good|хороший|[gud]|
govern|управлять|['gAvqn]|
grace|грация, милость|[greIs]|
gradual|постепенный|['grxdjuql]|
grain|зерно|[greIn]|
gram|грамм|[grxm]|
grammar|грамматика|['grxmq]|
grand|величественный|[grxnd]|
grass|трава|[grQ:s]|
grateful|благодарный|['greItful]|
grave|могила, высекать|[greIv]|
grease|топлёное сало|[gri:s]|
great|великий|[greIt]|
greed|жадность|[gri:d]|
green|зеленый|[gri:n]|
greet|приветствовать|[gri:t]|
grey|серый|[greI]|
grind|молоться|[graInd]|
ground|земля|[graund]|
group|группа|[gru:p]|
grow|расти|[grqu]|
guard|охрана|[ga:d]|
guess|догадываться|[ges]|
guest|гость|[gest]|
guide|гид|[gaId]|
guilty|виновный|['gIltI]|
gun|пушка|[gAn]|
habit|привычка|['hxbIt]|
hair|волосы|[hFq]|
half|половина|[ha:f]|
hall|зал|[hO:l]|
hammer|молоток|['hxmq]|
hand|кисть, ладонь|[hxnd]|
handkerchief|платок|['hxNkqtSIf]|
handle|рукоятка|['hxndl]|
hang|вешать|[hxN]|
happen|случаться|['hxpqn]|
happy|счастливый|['hxpI]|
harbor|гавань|['hQ:bq]|
hard|жесткий|[ha:d]|
hardly|едва|['hQ:dlI]|
harm|вред|[hQ:m]|
harvest|собирать урожай|['hQ:vIst]|
haste|торопиться|[heIst]|
hat|шляпа|[hxt]|
hate|ненависть|[heIt]|
have|иметь|[hxv]|
hay|сено|[heI]|
he|он|[hi:-]|
head|голова|[hed]|
heal|излечивать|[hi:l]|
health|здоровье|[helT]|
heap|куча|[hi:p]|
hear|слышать|[hIq]|
heart|сердце|['hQ:t]|
heat|жара|[hi:t]|
heaven|небеса|['hevn]|
heavy|тяжелый|['hevI]|
help|помощь|[help]|
here|здесь|[hIq]|
hesitate|сомневаться|['hezIteIt]|
hide|прятаться|[haId]|
high|высокий|[haI]|
hill|холм|[hIl]|
hinder|мешать|['haIndq]|
hire|нанимать|['haIq]|
history|история|['hIstqrI]|
hit|ударять|[hIt]|
hold|держать|[hquld]|
hole|дыра|[hqul]|
holiday|праздник|['hOlqdI]|
hollow|пустой|['hOlqu]|
holy|святой|['hqulI]|
home|дом|[hqum]|
honest|честный|['OnIst]|
honour|честь|['Onq]|
hook|крюк|[huk]|
hope|надежда|[hqup]|
horizon|горизонт|[hq'raIzn]|
horse|лошадь|[hO:s]|
hospital|больница|['hOspItl]|
host|хозяин|[hqust]|
hot|горячий|[hOt]|
hotel|гостиница, отель|[hqu'tel]|
hour|час|['auq]|
house|дом, жилище|['haus]|
how|как|[hau]|
however|как бы ни|[hau'evq]|
hullo|алло!|['hA'lqu]|
human|человеческий|['hju:mqn]|
humble|скромный|['hAmbl]|
hundred|сто|['hAndrqd]|
hunger|голод|['hANgq]|
hunt|охота|[hAnt]|
hurrah|ура!|[hu'rQ:]|
hurry|суматоха, суета|['hArI]|
hurt|болеть, повреждать|[hq:t]|
husband|муж|['hAzbqnd]|
hut|камышовая хижина|[hAt]|
ice|лед|[aIs]|
idea|идея|[aI'dIq]|
ideal|идеальный|[aI'dIql]|
idle|незанятый|['aIdl]|
if|если|[If]|
ill|больной|[Il]|
imagine|представлять себе|[I'mxdZIn]|
imitate|имитировать|['ImIteIt]|
immediate|ближайший|[I'mi:djqt]|
immense|необъятный|[I'mens]|
important|важный|[Im'pO:t(q)nt]|
improve|улучшать|[Im'pru:v]|
in|в|[In]|
inch|дюйм|[IntS]|
include|включать|[In'klu:d]|
increase|прирост|['Inkri:s]|
indeed|действительно|[In'di:d]|
independent|независимый|[,IndI'pendqnt]|
industry|промышленность|[In'dqstrI]|
influence|влияние|['Influqns]|
inform|информировать|[In'fO:m]|
informal|неформальный|[In'fO:ml]|
informally|неофициально|[In'fO:mqlI]|
inn|гостиница|[In]|
input|входная информация|['Input]|
inquire|наводить справки|[In'kwaIq]|
insect|насекомое|['Insekt]|
inside|внутренность|['In'saId]|
instant|моментальный|['Instqnt]|
instead|вместо|[In'sted]|
instrument|инструмент|['Instrumqnt]|
insult|оскорбление|['InsAlt]|
insure|страховаться|[In'Suq]|
intend|намереваться|[In'tend]|
