African|африканец, африканский|'xfrIkqn
actual|фактический, актуальный|'xktSuql
actually|фактически, в настоящее время|'xktSuqlI
add|прибавлять, добавлять|xd
addition|прибавление, дополнение|q'dIS(q)n
additional|дополнительный|q'dISqnl
address|адрес, обращение|q'dres
adequate|достаточный, соответствующий|'xdIkwIt
administration|управление, администрация|qd,mInIs'treIS(q)n
administrative|административный|qd'mInIstrqtIv
admission|вход, признание, допущение|qd'mIS(q)n
admit|признавать, допускать|qd'mIt
adopt|принимать, присваивать|q'dOpt
advance|продвижение, наступление, продвигаться, наступать|qd'vQ:ns
advanced|передовой, прогрессивный|qd'vQ:nst
advantage|преимущество, выгода|qd'vQ:ntIdZ
advertise|помещать объявление, рекламировать|'xdvqtaIz
advice|совет|qd'vaIs
advisory|совещательный, консультативный|qd'vaIzqrI
advocate|отстаивать, защищать|'xdvqkeIt
affair|дело|q'fFq
affect|влиять, трогать, вредить|q'fekt
afford|позволить себе|q'fO:d
after|после того как, через, спустя, затем|'Q:ftq
afternoon|время после полудня|'Q:ftq'nu:n
afterwards|впоследствии|'Q:ftqwqdz
again|снова, к тому же|q'gen
against|против|q'genst
age|возраст, век|eIdZ
aged|старый, в возрасте|'eIdZId
agency|агентство|'eIdZqnsI
agent|агент|'eIdZqnt
ago|тому назад|q'gqu
agree|соглашаться, согласовываться|q'gri:
agreement|соглашение, согласие|q'gri:mqnt
agricultural|сельскохозяйственный|,xgrI'kAltSqrql
agriculture|сельское хозяйство|'xgrIkAltSq
ahead|вперед|q'hed
aim|стремиться, иметь в виду, цель|eIm
air|воздух, обстановка|Fq
aircraft|самолет, летательный аппарат|'FqkrQ:ft
airline|авиалиния|'FqlaIn
airport|аэропорт|'FqpO:t
airways|воздушные линии|
all|весь, целый, все|O:l
allegation|утверждение|,xlI'geIS(q)n
allege|утверждать, заявлять|q'ledZ
alliance|союз|q'laIqns
allow|позволять, разрешать|q'lau
allowance|скидка, пособие|q'lauqns
ally|вступать в союз|'xlaI
almost|почти|'O:lmqust
alone|один|q'lqun
along|дальше, с, по|q'lON
already|уже|O:l'redI
also|также, тоже|'O:lsqu
alter|изменять|'O:ltq
alternative|альтернатива, альтернативный|O:l'tq:nqtIv
although|несмотря на то, что|O:l'Dqu
altogether|вполне, в общем|,O:ltq'geDq
always|всегда|'O:lwqz
amalgamated|соединенный, объединенный|q'mxlgqmeItId
amateur|любитель|'xmqtq(:)
ambassador|посол|xm'bxsqdq
ambulance|санитарная машина|'xmbjulqns
amend|изменять к лучшему|q'mend
amendment|поправка|q'mendmqnt
amnesty|амнистия|'xmnIstI
among|среди, между|q'mAN
amount|количество, сумма, составлять, достигать|q'maunt
analyst|аналитик, комментатор|'xnqlIst
analyze|анализировать|
ancient|древний|'eInS(q)nt
and|к тому же, а|xnd
anger|гнев|'xNgq
angry|сердитый, гневный|'xNgrI
animal|животное|'xnImql
announce|объявлять, извещать|q'nauns
announcement|объявление, сообщение|q'naunsmqnt
another|другой, еще|q'nADq
answer|ответ, отвечать, соответствовать|'Q:nsq
anticipate|предвидеть|xn'tIsIpeIt
anxious|беспокойный|'xNkSqs
any|какой-либо, сколько-нибудь, еще|'enI
anyone|кто-нибудь, любой|'enIwAn
anything|что-нибудь|'enITIN
apart|в стороне, отдельно|q'pQ:t
apex|верхушка, вершина|'eIpeks
apparent|видимый, явный|q'pxrqnt
apparently|явно, очевидно|q'pxrqntlI
appeal|взывать, просить, апелляция|q'pi:l
appear|появляться, казаться, представляться|q'pIq
appearance|внешность, появление|q'pIqrqns
application|заявление, применение|,xplI'keIS(q)n
apply|просить, применять|q'plaI
appoint|назначать|q'pOInt
appointment|назначение, должность, встреча|q'pOIntmqnt
approach|приближаться, подходить, подход|q'prqutS
appropriate|подходящий, соответствующий|q'prquprIeIt
approval|одобрение|q'pru:vql
approve|одобрять, утверждать|q'pru:v
arbitration|арбитраж|,Q:bI'treIS(q)n
archbishop|архиепископ|'Q:tS'bISqp
area|площадь, район|'FqrIq
argue|спорить, аргументировать|'Q:gju:
argument|довод, спор|'Q:gjumqnt
arise|возникать, появляться|q'raIz
armed|вооруженный|Q:md
arms|оружие|Q:ms
army|армия|'Q:mI
around|кругом, вокруг|q'raund
arouse|будить, пробуждать|q'rauz
arrange|приводить в порядок|q'reIndZ
arrangement|приведение в порядок, договоренность|q'reIndZmqnt
arrest|арест, арестовывать|q'rest
arrival|приезд, прибытие|q'raIvql
arrive|прибывать, приезжать|q'raIv
arsenal|арсенал|'Q:sInl
art|искусство|Q:t
article|пункт, статья|'Q:tIkl
artist|художник|'Q:tIst
as|когда, как, какой, в то время как|xz
ask|спрашивать, просить|Q:sk
aspect|вид, аспект, точка зрения|'xspekt
assault|нападать, нападение|q'sO:lt
assembly|собрание, ассамблея|q'semblI
assert|утверждать, заявлять|q'sq:t
assist|помогать|q'sIst
assistance|помощь|q'sIstqns
assistant|помощник|q'sIstqnt
associate|соединять, присоединять|q'squSIeIt
associated|объединенный, ассоциированный|q'squSIeItId
association|ассоциация|q,squsI'eIS(q)n
assume|предполагать, брать|q'sju:m
assurance|заверение, уверенность|q'Suqrqns
assure|уверять, обеспечивать|q'Suq
assured|уверенный, гарантированный|q'Suqd
at|у, около,  в, к, до, при, по, за, с|xt
atmosphere|атмосфера|'xtmqsfIq
atomic|атомный|q'tOmIk
attach|связываться, приписывать, придавать|q'txtS
attack|нападать, поражать, нападение|q'txk
attempt|попытка, пытаться, покушение|q'tempt
attend|присутствовать, уделять внимание|q'tend
attendance|присутствие, аудитория|q'tendqns
attention|внимание, забота, уход|q'tenS(q)n
attitude|отношение, положение|'xtItju:d
attorney|адвокат, поверенный|q'tq:nI
attract|привлекать|q'trxkt
attractive|притягательный, привлекательный|q'trxktIv
audience|аудитория, слушание дела|'O:djqns
author|автор|'O:Tq
authority|власть, полномочие, управление|O:'TOrItI
autumn|осень|'O:tqm
available|доступный|q'veIlqbl
avenue|авеню|'xvInju:
average|средний, составлять в среднем|'xvqrIdZ
aviation|авиация|,eIvI'eIS(q)n
avoid|избегать|q'vOId
award|награда, присуждать, награждать|q'wO:d
aware|сознающий|q'wFq
away|прочь, неловкий|q'weI
baby|ребенок, младенец, малыш|'beIbI
back|спина, обратный, поддерживать|bxk
background|задний план|'bxkgraund
bad|плохой, неблагоприятный, неудачный|bxd
badly|плохо, очень сильно|'bxdlI
baffle|озадачивать, мешать|'bxfl
balance|равновесие, балансировать, взвешивать|'bxlqns
ball|шар, мяч|bO:l
ballet|балет|'bxleI
ballot|избирательный бюллетень, голосование, голосовать|'bxlqt
ban|запрещать|bxn
band|лента, связь|bxnd
bank|банк, мель, берег|bxNk
banker|банкир|'bxNkq
banking|банковское дело|'bxNkIN
banner|знамя, флаг|'bxnq
bar|бар, брусок, препятствовать|bQ:
bargain|сделка, договариваться|'bQ:gIn
base|основа, базировать, основывать|beIs
baseball|бейсбол|'beIsbO:l
basic|основной, элементарный|'beIsIk
basically|в основном|'beIsIkqlI
basis|основа, основание|'beIsIs
bat|бить|bxt
battle|битва, борьба, сражаться|'bxtl
be|быть, находиться, происходить|bI
bear|переносить, перевозить, нести|bFq
beautiful|прекрасный, красивый|'bju:tqful
beauty|красота, красавица|'bju:tI
because|потому что, так как|bI'kOz
become|становиться, делаться|bI'kAm
bed|кровать, постель|bed
bedroom|спальня|'bedru(:)m
before|до, раньше, перед|bI'fO:
begin|начинать|bI'gIn
beginning|начало|bI'gInIN
behaviour|поведение, манеры|bI'heIvjq
behind|за, позади, сзади|bI'haInd
belief|вера, доверие|bI'li:f
believe|верить, доверять, считать|bI'li:v
belong|принадлежать, относиться|bI'lON
below|внизу, ниже, под|bI'lqu
belt|пояс|belt
bench|скамья|bentS
besides|кроме того, также|bI'saIdz
bet|держать пари|bet
between|между, посреди|bI'twi:n
beyond|вдали, на расстоянии|bI'jOnd
bid|предлагать цену|bId
big|большой, крупный, значительный|bIg
bill|счет, список|bIl
billion|биллион, миллиард|'bIljqn
bind|связывать, ограничивать|baInd
birth|рождение, происхождение|bq:T
birthday|день рождения|'bq:TdeI
bishop|епископ|'bISqp
bit|кусок, небольшое количество|bIt
bitter|горький, сильный, резкий|'bItq
bitterly|горько, сильно|'bItqlI
blast|взрыв, взрывать, разрушать|blQ:st
block|блок, квартал, преграда|blOk
board|доска, стол, борт, правление, совет|bO:d
boat|лодка, судно, корабль|bqut
body|тело, группа людей|'bOdI
bomb|бомба, бомбить|bOm
bonus|бонус, премия|'bqunqs
book|книга, записывать, заказывать заранее|buk
bookmaker|букмекер|
borough|городок, населенный пункт|'bArq
boss|босс, хозяин|bOs
both|оба, и тот и другой, тоже|bquT
bottom|дно, низ|'bOtqm
box|коробка, ящик, ложа|bOks
boy|мальчик, парень|bOI
branch|отрасль|brQ:ntS
bread|хлеб|bred
break|ломать, разбивать, нарушать|breIk
breakaway|отход, отрыв|'breIkqweI
breakdown|поломка, нарушение движения|'breIkdaun
breaking|поломка, разрушение|'breIkIN
brief|короткий, недолгий, краткий|bri:f
bright|яркий, светлый, способный|braIt
bring|приносить, привозить|brIN
broad|широкий|brO:d
broadcasting|радиовещание|'brO:dkQ:stIN
broker|брокер, маклер|'brqukq
brother|брат|'brADq
budget|бюджет|'bAdZIt
build|строить, создавать|bIld
builder|строитель|'bIldq
building|здание, строительство|'bIldIN
burden|груз, бремя|'bq:dn
bureau|бюро|bjuq'rqu
burn|сжигать, гореть|bq:n
bury|хоронить, погружать|'berI
business|дело, бизнес|'bIzInIs
businessman|бизнесмен|
but|наружу, снаружи, кроме|bAt
butler|дворецкий|'bAtlq
buy|покупать|baI
buyer|покупатель|'baIq
by|у, около, рядом, вдоль, по, на|baI
by-election|дополнительные выборы|'baII,lekSqn
cabinet|кабинет|'kxbInIt
cable|кабель, телеграмма|'keIbl
calculate|вычислять, рассчитывать|'kxlkjuleIt
call|призыв, вызов, визит, звать|kO:l
camera|камера|'kxmqrq
camp|лагерь|kxmp
campaign|компания, проводить кампанию|kxm'peIn
can|мочь|kxn
canal|канал|kq'nxl
candidate|кандидат|'kxndIdIt
capable|способный|'keIpqbl
capacity|способность|kq'pxsItI
capital|столица, капитал, прописной|'kxpItl
capitalist|капиталист|'kxpItqlIst
captain|капитан|'kxptIn
capture|захватить, поимка, взятие в плен|'kxptSq
car|автомобиль, вагон|kQ:
care|забота,  обслуживание, заботиться|kFq
career|карьера, деятельность|kq'rIq
carefully|осторожно, внимательно|'kFqflI
carnival|карнавал|'kQ:nIvql
carrier|носильщик, транспортное средство|'kxrIq
carry|нести, носить, переносить|'kxrI
case|случай, доводы, судебное дело|keIs
cast|метание, количество, состав исполнителей|kQ:st
castle|замок, ладья|'kQ:sl
catch|схватить, ловить, понять, догнать|kxtS
cause|быть причиной, вызывать, повод|kO:z
cease|прекращать, останавливать|si:s
cease-fire|прекращение огня|'si:s,faIq
ceiling|потолок, максимум, предел|'si:lIN
celebrate|праздновать, прославлять|'selIbreIt
celebration|празднование, прославление|,selI'breISqn
cell|камера, ячейка|sel
cement|цемент, основа|sI'ment
cent|цент|sent
central|центральный, основной|'sentrql
centre|центр, концентрировать|'sentq
century|столетие, век|'sentSurI
ceremony|церемония, церемониал|'serImqnI
certain|определенный, некоторый, некий|'sq:tn
certainly|конечно, непременно|'sq:tnlI
chain|цепь, последовательность|tSeIn
chairman|председатель|'tSFqmqn
challenge|вызов, бросать вызов, сомневаться|'tSxlIndZ
chamber|палата, зал|'tSeImbq
champion|чемпион, защитник|'tSxmpjqn
championship|чемпионат|'tSxmpjqnSIp
chance|случай, шанс, риск|tSQ:ns
chancellor|канцлер|'tSQ:nsqlq
change|перемена, изменение, менять|tSeIndZ
chapel|часовня, капелла|'tSxp(q)l
character|характер, качество, признак|'kxrIktq
charge|нагрузка, забота, обязанности, поручать|tSQ:dZ
charter|хартия, устав|'tSQ:tq
cheap|дешевый|tSi:p
check|чек, проверка, шах|tSek
cheese|сыр|tSi:z
chemical|химический|'kemIkql
chief|начальник,главный, основной|tSi:f
child|ребенок, младенец|tSaIld
chorus|хор|'kO:rqs
cigar|сигара|sI'gQ:
circle|круг, кружок, область, двигаться по кругу|'sq:kl
circuit|кругооборот, окружность|'sq:kIt
circulate|циркулировать, распространяться|'sq:kjuleIt
circumstances|обстоятельства, условия|
citizen|гражданин|'sItIzn
citizenship|гражданство|'sItIznSIp
city|город|'sItI
civil|гражданский, вежливый|'sIvl
civilian|гражданское лицо|sI'vIljqn
claim|требование, претензия, заявлять|kleIm
clear|ясный, понятный, ясно, оправдывать|klIq
clearly|ясно, отчетливо, несомненно|'klIqlI
clergy|духовенство|'klq:dZI
clerk|клерк|klQ:k
close|близко, почти, закрывать, тайный|klqus
closely|близко, тесно, внимательно|'klquslI
closure|закрытие|'klquZq
cloth|ткань, одежда|klOT
clothing|одежда|'klquDIN
club|клуб, дубинка|klAb
co-operation|сотрудничество, кооперация|kqu,Opq'reISqn
co-operative|совместный, сотрудничающий, кооперативный|kqu'OpqrqtIv
coach|туристический автобус, тренер|kqutS
coal|уголь|kqul
coalition|коалиция|,kquq'lISqn
coast|берег, побережье|kqust
coat|пиджак, пальто|kqut
code|кодекс, свод законов|kqud
coffee|кофе|'kOfI
cold|холодный|kquld
colleague|коллега|'kOli:g
collect|собирать|kq'lekt
collection|собрание, скопление|kq'lekSqn
college|колледж, коллегия|'kOlIdZ
collision|столкновения|kq'lIZqn
colonial|колониальный|kq'lqunjql
colour|цвет, оттенок|'kAlq
coloured|цветной|'kAlqd
column|колонна, колонка|'kOlqm
combat|бой, борьба|'kOmbqt
combination|комбинация, объединение|,kOmbI'neISqn
come|приходить, прибывать, достигать|kAm
comfort|комфорт, уют, утешение, покой|'kAmfqt
command|приказ, командовать|kq'mQ:nd
commander|командир, командующий|kq'mQ:ndq
comment|комментарий,комментировать|'kOment
commission|комиссия, комитет|kq'mISqn
commissioner|представитель, уполномоченный|kq'mISnq
commitment|обязательство, вручение, арест|kq'mItmqnt
committee|комитет, комиссия|,kOmI'ti:
common|общий, общественный, обычный|'kOmqn
communication|сообщение, связь, общение|kq,mju:nI'keISqn
communique|официальное сообщение|kq'mju:nIkeI
community|община, общество, объединение|kq'mju:nItI
company|компания|'kAmpqnI
compare|сравнивать|kqm'pFq
comparison|сравнение|kqm'pxrIsn
compel|заставлять, принуждать|kqm'pel
compensation|компенсация|,kOmpen'seISqn
competition|соревнование, конкуренция|,kOmpI'tISqn
competitive|конкурирующий, конкурентоспособный|kqm'petItIv
complain|жаловаться|kqm'pleIn
complaint|жалоба, недовольство|kqm'pleInt
complete|заканчивать, завершать, полный|kqm'pli:t
completely|совершенно, полностью|kqm'pli:tlI
component|компонент|kqm'pqunqnt
composer|композитор|kqm'pquzq
comprehensive|обширный, понятливый, всесторонний|,kOmprI'hensIv
concentrate|концентрировать|'kOnsqntreIt
concentration|концентрация, сосредоточенность|,kOnsqn'treISqn
concept|концепция, понятие, идея|'kOnsept
concern|касаться, отношение, беспокоить|kqn'sq:n
concert|концерт|'kOnsq(:)t
conciliation|примирение, умиротворение|kqn,sIlI'eISqn
conclude|завершать, заключать|kqn'klu:d
conclusion|завершение, заключение, результат|kqn'klu:Zqn
condemn|осуждать, приговаривать|kqn'dem
condition|условие|kqn'dISqn
conduct|вести, руководитель, проводить|'kOndAkt
conductor|кондуктор, проводник, дирижер|kqn'dAktq
confederation|конфедерация|kqn,fedq'reISqn
conference|конференция|'kOnfqrqns
confession|признание, исповедь|kqn'feSqn
confidence|доверие, секрет, уверенность|'kOnfIdqns
confident|уверенный|'kOnfIdqnt
confidential|конфиденциальный, доверчивый|,kOnfI'denSql
confrontation|конфронтация|,kOnfrAn'teISqn
confusion|смущение, замешательство, беспорядок|kqn'fju:Zqn
congress|конгресс, съезд|'kONgres
connect|соединять, связывать|kq'nekt
connection|связь|kq'nekSqn
consequence|следствие, вывод, значение|'kOnsIkwqns
conservative|консерватор, реакционер, консервативный|kqn'sq:vqtIv
consider|рассматривать, обсуждать, обдумывать|kqn'sIdq
considerable|значительный, важный|kqn'sIdqrqbl
considerably|значительно|kqn'sIdqrqblI
consideration|рассмотрение, соображение|kqn,sIdq'reISqn
consist|состоять, заключаться|kqn'sIst
consolidate|укреплять, объединять|kqn'sOlIdeIt
conspiracy|заговор, конспирация|kqn'spIrqsI
constantly|постоянно|'kOnstqntlI
constituency|избиратели, избирательный округ|kqn'stItjuqnsI
constitution|конституция|,kOnstI'tju:Sqn
constitutional|конституционный|,kOnstI'tju:Sqnl
construction|строительство, конструкция|kqn'strAkSqn
consult|советоваться, справляться|kqn'sAlt
consultant|консультант|kqn'sAltqnt
consultation|консультация|,kOnsql'teISqn
consumer|потребитель, абонент|kqn'sju:mq
consumption|потребление, расход|kqn'sAmpSn
contact|быть в контакте,  контакт, связь|kqn'txkt
contain|содержать, сдерживать|kqn'teIn
content|содержимое, суть, удовлетворение|'kOntent
context|контекст, ситуация|'kOntekst
continental|континентальный|,kOntI'nentl
continue|продолжать, простираться|kqn'tInju(:)
contrary|противоположный|kqn'trFqrI
contrast|контраст|'kOntrQ:st
contribute|делать вклад, способствовать|kqn'trIbju(:)t
contribution|взнос, вклад, сотрудничество|,kOntrI'bju:Sqn
control|контроль, управление, регулировать|kqn'trqul
controversial|спорный, полемический|,kOntrq'vq:Sql
controversy|дискуссия, спор|'kOntrqvq:sI
convener|член, который назначает день собрания|kqn'vi:nq
convention|собрание, съезд|kqn'venSqn
conventional|обычный, обусловленный|kqn'venSqnl
conversation|беседа, неофициальные переговоры|,kOnvq'seISqn
conversion|превращение, обращение|kqn'vq:Sqn
convert|превращать, обращать, конвертировать|'kOnvq:t
convey|перевозить, передавать, сообщать|kqn'veI
convict|признать виновным, осудить|'kOnvIkt
conviction|осуждение, убеждение, убежденность|kqn'vIkSqn
convince|убеждать|kqn'vIns
copy|экземпляр, копия|'kOpI
corner|угол, уголок|'kO:nq
corporation|корпорация|,kO:pq'reISqn
correct|правильный, точный, подходящий|kq'rekt
correspondent|корреспондент|,kOrIs'pOndqnt
cost|цена, стоимость, стоить|kOst
cottage|коттедж|'kOtIdZ
council|совет, муниципалитет, совещание|'kaunsl
councillor|советник, член муниципалитета|
counsel|обсуждение, совет, решение, адвокат|'kaunsl
count|считать, подсчитывать, учитывать, полагать|kaunt
country|страна, местность, сельская местность|'kAntrI
county|графство|'kauntI
coup|удар, государственный переворот|ku:
couple|соединять, связывать, пара|'kApl
course|курс, ход|kO:s
court|суд, судьи, двор, добиваться|kO:t
cover|покрышка, переплет, закрывать|'kAvq
craft|ремесло, искусство, судно|krQ:ft
crash|потерпеть крах, потерпеть крушение|krxS
create|создавать, творить|krI(:)'eIt
creation|создание|krI(:)'eISqn
credit|вера, доверие, репутация|'kredIt
crew|экипаж, команда, бригада|kru:
crime|преступление|kraIm
crisis|кризис|'kraIsIs
critical|критический|'krItIkql
criticism|критика|'krItIsIzm
criticize|критиковать|'krItIsaIz
crop|урожай|krOp
cross|пересекать, скрещивать, противодействовать|krOs
crown|корона, венец, крона|kraun
cultural|культурный|'kAltSqrql
culture|культура|'kAltSq
cup|чашка, кубок|kAp
curb|узда, обуздание, сдерживать|kq:b
currency|валюта|'kArqnsI
current|текущий, современный|'kArqnt
currently|общепринятым образом|
customer|потребитель|'kAstqmq
cut|порез, резать, сокращение|kAt
daily|ежедневная газета, ежедневный|'deIlI
dam|дамба, плотина|dxm
damage|вред, повреждать, убыток|'dxmIdZ
danger|опасность, угроза, риск|'deIndZq
dangerous|опасный, угрожающий|'deIndZrqs
date|дата, число, день, время, датировать|deIt
daughter|дочь|'dO:tq
day|день, сутки|deI
dead|мертвый, погибший|ded
deal|вести дела, рассматривать, иметь дело|di:l
dealer|торговец, биржевик|'di:lq
dealing|раздача|'di:lIN
dean|декан, ректор|di:n
death|смерть, гибель|deT
debate|дебаты, спор, полемика|dI'beIt
debt|долг|det
decade|десяток, десятилетие|'dekeId
decide|решать|dI'saId
decided|определенный, решительный|dI'saIdId
decision|решение, решимость|dI'sIZqn
declare|заявлять, объявлять, декларация|dI'klFq
decline|опускаться, уменьшаться, убывать|dI'klaIn
deep|глубокий, глубиной в|di:p
deeply|глубоко, низко, сильно|'di:plI
defeat|поражение, крушение, наносить поражение|dI'fi:t
defence|защита, оборона|dI'fens
defend|защищать, оборонять|dI'fend
defendant|ответчик, обвиняемый|dI'fendqnt
defiance|неповиновение, пренебрежение|dI'faIqns
deficit|дефицит|'defIsIt
degree|ступень, степень, ранг, звание|dI'gri:
delay|отсрочка, задерживать, откладывать, медлить|dI'leI
delegate|делегат, депутат|'delIgeIt
delegation|делегация, поручение|,delI'geISqn
deliver|передавать, доставлять, посылать|dI'lIvq
delivery|доставка, поставка, подача|dI'lIvqrI
demand|требование, потребность, спрос, требовать, нуждаться|dI'mQ:nd
democracy|демократия|dI'mOkrqsI
democrat|демократ|'demqkrxt
democratic|демократический|,demq'krxtIk
demonstrate|демонстрировать, показывать|'demqnstreIt
demonstration|демонстрация|,demqns'treISqn
demonstrator|демонстратор, демонстрант|'demqnstreItq
denounce|осуждать, разоблачать|dI'nauns
deny|отрицать, отвергать|dI'naI
department|отдел, цех, магазин|dI'pQ:tmqnt
depend|зависеть|dI'pend
deputy|представитель, депутат, заместитель|'depjutI
describe|описывать|dIs'kraIb
design|замысел, план, цель, планировать, предназначать|dI'zaIn
desk|стол, редакция газеты|desk
despite|несмотря на|dIs'paIt
destroy|разрушать, уничтожать|dIs'trOI
detail|деталь, подробность|'di:teIl
detailed|детальный, подробный|'di:teIld
determination|решимость, определение|dI,tq:mI'neISqn
determine|определять, устанавливать, разрешать|dI'tq:mIn
develop|развивать, показывать, обнаруживать|dI'velqp
development|развитие, изложение, результат|dI'velqpmqnt
device|схема, проект, прием, устройство|dI'vaIs
devote|посвящать|dI'vqut
diamond|алмаз, бриллиант|'daIqmqnd
die|умирать, исчезать, отмирать|daI
difference|разница, различие|'dIfrqns
different|различный, иной, другой|'dIfrqnt
difficult|трудный|'dIfIkqlt
difficulty|трудность, затруднение|'dIfIkqltI
dinner|обед|'dInq
diplomatic|дипломатический, дипломатичный|,dIplq'mxtIk
direct|прямо, направлять, руководитель, учить|dI'rekt
direction|направление, руководство, указание|dI'rekSqn
directly|прямо, непосредственно, сразу|dI'rektlI
director|член правления, директор, руководитель|dI'rektq
disappear|исчезать, пропадать|,dIsq'pIq
disappointment|разочарование, причина разочарования|,dIsq'pOIntmqnt
disarmament|разоружение|dIs'Q:mqmqnt
disaster|бедствие, несчастье|dI'zQ:stq
discipline|дисциплина, обучение|'dIsIplIn
disclose|раскрывать, открывать, разоблачать|dIs'klquz
discover|открывать|dIs'kAvq
discrimination|дискриминация, различение|dIs,krImI'neISqn
discuss|обсуждать|dIs'kAs
discussion|обсуждение, дискуссия, дебаты|dIs'kASqn
dismiss|отпускать, распускать, увольнять|dIs'mIs
dismissal|роспуск, увольнение|dIs'mIsql
disorder|беспорядок|dIs'O:dq
disposal|вручение, право распоряжаться|dIs'pquzql
dispute|диспут, полемика, обсуждать|dIs'pju:t
distance|дистанция, расстояние, сдержанность|'dIstqns
distant|отдаленный, дальний|'dIstqnt
distinguish|отличать, различать, разделять|dIs'tINgwIS
distribute|распределять, распространять|dIs'trIbju(:)t
distribution|распределение, распространение|,dIstrI'bju:Sqn
district|округ, район, участок|'dIstrIkt
disturb|нарушать, беспокоить, срывать|dIs'tq:b
divide|делить, подразделять, распределять|dI'vaId
dividend|дивиденд|'dIvIdend
division|деление, распределение, округ|dI'vIZqn
do|делать, годиться, заниматься|du:
doctor|доктор, врач|'dOktq
doctor (Dr.)|доктор|
document|документ|'dOkjument
dog|собака|dOg
dollar|доллар|'dOlq
domestic|домашний, внутренний|dq'mestIk
dominate|господствовать, сдерживать|'dOmIneIt
don|дон|dOn
door|дверь, дверца|dO:
doubt|сомнение, сомневаться|daut
down|вниз, идущий на убыль, ниже|daun
dozen|дюжина|'dAzn
draft|чертеж, проект|drQ:ft
drama|драма|'drQ:mq
draw|тащить, приближать|drO:
drawing|протаскивание, вытягивание, рисование, чертеж|'drO:IN
dress|платье, одежда, одевать|dres
drift|сносить, плыть по течению|drIft
drive|управлять, ездить|draIv
driver|водитель|'draIvq
drop|капля, падать, снижаться, ронять|drOp
drug|лекарство, наркотик|drAg
due|должный, обязанный, точно|dju:
during|во время, в течение|'djuqrIN
dust|пыль, пылинка, прах|dAst
duty|долг, обязанность, дежурство|'dZu:tI
