а именно|as follows
алфавитный|alphabetical
алфано|alfano
алфонсо|alfonso
алхимик|alchemist
алхимия|alchemy
алчность|greed
алчный|greedy
алый|scarlet
алыча|plum
альбатрос|albatross
альберт ли|albert lea
альберт|albert
альберта|alberta
альберто|alberto
альбинизм|albinism
альбинос|albino
альбион|albion
альбом|album
альбукерк|albuquerque
альбумин|albumin
альбуминовый|albuminous
альвеола|alveolus
альвеолярный|alveolar
альгамбра|alhambra
алькобар|alkhobar
альков|alcove
альма матер|nalma mater
альма|alma
альманах|almanac
альпака|alpaca
альпари|at par
альпийский|alpine
альпинизм|mountain climbing
альпинист|climber;mountaineer
альпинисткий|mountain-climbing
альпы|alps
альт|alto;viola
альтер эго|alter ego
альтернатива для|walternativeto
альтернатива|alternative
альтернативный|alternative;yes-no
альтернатор|alternator
альтиметр|airlog
альтовый|alto
альтруизм|altruism
альтруист|altruist
альтруистический|altruistic
альфа тестирование|alpha testing
альфа|alpha
альянс|alliance
алюминиевый|aluminum
алюминий|aluminum
аляповатый|crude;ugly
аляска|alaska
аляскинец|alaskan
аляскинский|alaskan
амагансетт|amagansett
амазонка|amazon(миф);horse woman(всадница);riding habit(платье)
амайтивилл|amityville
амакс|amax
амальгама|amalgam;amalgamation
амальгамация|amalgamation
амальгамировать|amalgamate
амарант|amaranth
амариллис|amaryllis
амарилло|amarillo
амбар|barn;storehouse
амбарный|barn
амбиция|pride;ambition
амбра|ambergris
амбразура|embrasure;loophole
амброджо|ambrogio
амброзия|ambrosia;ragweed
амбулатория|dispensary;outpatient clinic
амбулаторный больной|outpatient
амбулаторный|dispensary
амдал|amdal
амдахл|amdahl
амдек|amdek
амеба|amoeba
амебный|amebic
америка|america
американ моторс корпорейшн|amc
американ|american
американа|americana
американец|american
американка|american
американо|american
американо-советский|u.s.-soviet
американский вариант английского|american english
американский водопад|american fall
американский галлон|u.s.gal
американский журавль|whooping crane
американский клуб собаководства|akc
американский медицинский ассоциация|ama
американский|american
американ-юнайтед|american-united
америций|americium
амертрэйд|amertrade
аметист|amethyst
аметистовый|amethyst
ами|ami
амига|amiga
амино|amino
аминобелок|aminoproteins
аминокислота|amino acid
аминь|amen
амман|amman
аммиак|ammonia
аммиачный селитра|ammonium nitrate
аммиачный|ammonium
аммониак|ammoniac
аммониевый|ammonium
аммоний|ammonium
амнистировать|amnesty
амнистия|amnesty
амок|amuck
амоко|amoco
аморальность|immorality
аморальный|amoral
амортизатор|shock absorber
амортизационный график|amortization schedule
амортизационный отчисление|depreciation charge
амортизационный фонд|amortization fund
амортизационный|amortization;paid)depreciation
амортизация отказов|graceful degradation
амортизация|amortization;shock absorption(удара)
амортизировать|amortize;absorb(удар)
амортизируемый|depreciable
аморфный|amorphous
амос|amos
ампер|ampere
амперметр|ampermeter
амперсанд|ampersand
ампер-час|ampere-hour
ампко|ampco
амплитуда|amplitude
амплуа|kind of role
ампула|ampule
ампутация|amputation
ампутировать|amputate
амсаут|amsouth
амстар|amstar
амстед|amsted
амстелвин|amstelveen
амстердам|amsterdam
амтрак|amtrak
амулет|amulet
амур|amur;cupid(миф)
амфак|amfac
амфибия|amphibian
амфитеатр|amphitheatre
амфора|amphoras
амхерст|amherst
ана|ana
анабаптизм|anabaptism
анабаптист|anabaptist
анабель|anabelle
анаграмма|anagram
анаконда|anaconda
анакортз|anacortes
анализ данных вызова|call information analysis
анализ затрат и доходов|cost benefit analysis
анализ кривых|trace analysis
анализ крови|blood test
анализ мочи|urinalysis
анализ на спид|aids test
анализ разрешимости задачи|feasibility study
анализ специального вида|ad hoc analysis
анализ структуры отрасли|branch analysis
анализ через синтез|wanalysis by synthesis
анализ экономической эффективности|cost-effectiveness analysis
анализ|analysis;med)test
анализатор|analyzer
анализировать|analyse
аналитик|analyst
аналитически|analytically
аналитический геометрия|analytic geometry
аналитический|analytical
аналог|analogue
аналогично|similarly
аналогичный|to
аналогия|analogy
аналоговый вычислительный машина|analog computer
аналоговый|analog
аналого-цифровой|analog-to-digital
аналой|lectern
анальный|anal
ананас|pineapple
ананасовый|pineapple
анапест|anapest
анархизм|anarchism
анархист|anarchist
анархисткий|anarchist
анархический|anarchistic
анархичный|anarchic
анархия|anarchy
анатом|anatomist
анатомировать|anatomize
анатомист|anatomist
анатомический|anatomical
анатомия|anatomy
анафема|anathema
анахейм|anaheim
анахронизм|anachronism
анахронический|anachronistic
анаэроб|anaerobe
анаэробный|anaerobic
ангар|airshed;hangar
ангел|angel
ангел-хранитель|guardian angel
ангельский|angelic
ангидрид|anhydride
ангина|angina
англ.|eng
английский булавка|safety pin
английский миля|statute mile
английский рожок|english horn
английский соль|epsom salt
английский язык|english
английский|english
англицизм|anglicism
англичанин|englishman;english;british
англичанка|englishwoman
англия|england
англо|english
англо-русский|english-russian
англосакс|anglo-saxon
англосаксонский|anglo-saxon
англофил|anglophile
ангора|angora
ангуилла|anguilla
андалузия|andalusia
анданте|andante
андеррайтер|insr)underwriter
андерсен|andersen
андерсон|anderson
анджелз|angeles
андорра|andorra
андоувер|andover
андрей|andrei
андри|andri
андриано|andriano
анды|andes
аневризм|aneurysm
анекдот|anecdote
анекдотический|anecdotal
анекдотичный|impropable
анемичный|anaemic
анемия|anemia
анемометр|anemometer
анемон|anemone
анероид|aneroid
анестезиолог|anesthesiologist
анестезировать|anesthetize
анестезирующий вещество|anesthetic
анестезирующий|anesthetic
анестезия|anaesthesia
анизотропия|anisotropy
анизотропный|anisotropic
аникстер|anixter
анилин|aniline
анилиновый|aniline
анимизм|animism
анимист|animist
анимистический|animistic
анис|anise
анисовка|anisette
анисовый|anise
анкара|ankara
анкета|questionnaire;blank;form;dossier
анкетный данные|biographical data
анкетный|questionnaire;dossier
анклав|enclave
анкоридж|anchorage
анна|anna
анналы|annals
аннандейл|annandale
аннаполис|annapolis
анне|anne
аннексировать|annex
аннексия|annexation
аннетт|annette
аннистон|anniston
анно домини|anno domini
анно|anno
аннотация|abstract;summary;synopsis
аннуитет|annuity
аннулирование|cancellation
аннулированный|invalidated
аннулировать отказ|wreverse the dismissal
аннулировать|cancel;cont)void
аннулирующий|invalidating
анод|anode
анодный|anode
аномалия|anomaly
аномальный|anomalous
аноним|anonymous author
анонимка|anonymous letter
анонимно|anonymously
анонимность|anonymity
анонимный письмо|anonymous letter
анонимный|anonymous
анонс|announcement;notice(спектакля)
анонсировать|announce;advertise(спектакль)
анормальный|abnormal
анотоул|anotole
анофелес|anopheles
анса|ansa
ансамбль песни и пляски|song and dance company
ансамбль|ensemble;company(певцов,танцоров)
ансат|ansat
анси|ansi
ансониа|ansonia
антагонизм|antagonism
антагонист|antagonist
антагонистический|antagonistic
антанта|entente
антарика|antarica
антарктика|antarctic
антарктический|antarctic
антацид|antacid
антверпен|antwerp
антейрз|antares
антенна|antenna
антенный поле|antenna farm
антенный|antenna
антерпренер|showman
антецедент|antecedent
антиамериканизм|anti-americanism
антиамериканский|anti-american
антибиотик|antibiotic
антивещество|antimatter
антивоенный|antiwar
антиген|antigen
антигуа|antigua
антидемократический|undemocratic
антидемпинговый|antidumping
антиквар|antiquary
антикварный магазин|antique shop
антикварный|antique
антикоммунизм|anticommunism
антикоммунист|anticommunist
антикоммунистический|anticommunist
антилопа|antelope
антильский остров|antilles
антильский|antilles
антимода|antimode
антиномия|antinomy
антиобледенитель|defroster
антиобщественный|antisocial
антиокислитель|antioxident
антиох|antioch
антипартийный|anti-party
антипатичный|antipathetic
антипатия|antipathy
антипод|antipode
антиракета|anti-balistic missile
антирелигиозный|antireligious
антисанитарный|unsanitary
антисемит|anti-semit
антисемитизм|anti-semitism
антисемитский|anti-semitic
антисептика|antisepsis;antiseptics
антисептический|antiseptic
антисимметричный|antisymmetric
антисоветский|anti-soviet
антисовпадение|anticoincidence
антитанковый|antitank
антитеза|antithesis;opposite
антитезис|antithesis
антитело|antibody
антитетический|antithetical
антитоксин|antitoxin
антитоксический|antitoxic
антиузел|antinode
антифриз|antifreeze
антихрист|antichrist
античность|antiquity
античный|antique
антология|anthology
антон|anton
антоним|antonym
антонимичный|antonymous
антонимия|antonymy
антонио|antonio
антоновка|antonovka
антракт|intermission(в театре);musical interlude(музыкальный)
антрацит|anthracite
антрацитный|anthracite
антрацитовый|anthracite
антрекот|rib steak
антрепренер|showman
антрепренерство|showmanship
антресоль|attic;mezzanine
антропоид|anthropoid
антрополог|anthropologist
антропологический|anthropological
антропология|anthropology
антропоморфизм|anthropomorphism
антропоморфный|anthropomorphous
антуанетта|antoinette
анфас|full-face
анфилада|suite of rooms
анхьюсер|anheuser
анчар|upas
анчоус|anchovy
анютины глазки|pansy
анютины|pansy
ао|sc
аорта|aorta
апартамент|apatment
апартейд|apartheid
апатит|apatite
апатитовый|apatite
апатичный|apathetic
апатия|apathy
апачи|apache
апеллировать|appeal
апеллянт|appellant
апелляционный процедура|appellate work
апелляционный суд|appellate court
апелляционный|appellate
апелляция|appeal;plea
апельсин|orange
апельсинный|orange
апельсиновый роща|orange grove
апельсиновый|orange
апеннины|apennines
апериодический|aperiodic
аперитив|aperitif
апертура|aperture
апертурный|aperture
аперцепция|apperception
апликатор|aplicator
аплодировать|applaud
аплодисменты|applause
апломб|aplomb
апогей|apogee;high point
апокалипсис|apocalypse;revelation
апокалипсический|apocalyptic
апокриф|apocrypha
апокрифический|apocryphal
аполитичность|indifference to politics
аполитичный|apolitical
аполлон|apollo
апологет|apologist
апологетика|apologetics
апология|apologia
апоплексический удар|apoplectic stroke
апоплексический|apoplectic
апоплексия|apoplexy
апостериори|a posteriori
апостериорный|a posteriori
апостол|apostle
апостольский|apostolic
апостроф|apostrophe
апофеоз|apotheosis
аппалачи|appalacian mountains
аппалачинский|appalacian
аппарат|device;system(физиологический)
аппаратно|hardware
аппаратно-совместимый|hardware compatible
аппаратный оборудование|hardware
аппаратный средство|hardware
аппаратный ускоритель|hardware accelerator
аппаратный|hardware
аппаратура|equipment
аппаратчик|maintenance man;party functionary
аппартеид|apartheid
аппендикс|appendix
аппендицит|appendicitis
апперцепция|apperception
аппетит|appetite
аппетитный|appetizing
аппликатура|fingering
аппликация|aplique work
аппроксимация|aproximation
аппроксимировать|aproximate
аппроксимирующий|aproximating
апрель|april
апрельский|april
априори|a priori
априорный|a priori
апробация|approbation;approval
апробировать|approve
апсида|apse;apsis
аптека|drugstore;chemists shop
аптекарский|pharmaceutical
аптекарь|chemist;druggist
аптечка|first-aid kit;medicine chest;medicine cabinet
аптечный шкаф|medicine chest
аптечный|medicine
ар|are
ара|macaw
араб|arab
арабеск|arabesque
арабеска|arabesque
арабиа|arabia
арабист|arabist
арабка|arab
арабский|arabic
аравийский|arabian
аравия|arabia
арал|aral
аральский|aral
арамейский|aramaic
арара|macaw
арахис|peanuts(плод);peanut plant(дерево)
арахисовый масло|peanut butter
арахисовый орех|goober
арахисовый скорлупа|peanut shell
арахисовый|peanut
арба|araba
арбат|arbat
арбитр|arbitrator;arbiter
арбитраж|arbitration
арбитражный ассоциация|arbitration association
арбитражный комиссия|arbitration commission
арбитражный решение|arbitrament
арбитражный суд|court of arbitration
арбитражный|arbitration
арбуз|watermelon
арбузный|watermelon
арвада|arvada
арвин|arvin
аргентина|argentina
аргентинец|argentinean
аргентинка|argentinean
аргентинский|argentinean
арго|jargon;argot
аргон|argon
аргумент в пользу|pro
аргумент за и против|pros and cons
аргумент|argument
аргументация|argumentation
аргументировать|argue
аргус|argus
ардмор|ardmore
ареал|area
арена|arena
аренда квартир|flat rental
аренда машин и оборудования|bigticket lease
аренда стенда|wrent of a stall
аренда|lease;rent
арендатор|lessee;tenant;renter
арендный договор|lease
арендный плата|rental
арендный|lease
арендованный канал|leased line
арендованный собственность|leasehold
арендовать|lease
арендодатель|lessor
ареометр|aireometer
арест|arrest
арестант|prisoner
арестовывать|arrest
ариец|aryan
аризона|arizona
арийка|aryan
арийский|aryan
ариозо|arioso
аристократ|aristocrat
аристократический|aristocratic
аристократия|aristocracy
аритмический операция|arrhythmia
аритмический|arrythmia
арифметика|arithmetic
арифметический|arithmetical
арифмограф|arithmograph
арифмометр|arithmometer
ария|aria
арка|arch
аркада|arcade
аркадия|arcadia
аркан|lasso;lariat
арканзас|arkansas
арканить|lasso
арката|arcata
арко|arco
арктический|arctic
арлекин|harlequin
арлин|arlene
арлингтон|arlington
армада|armada
арматура|armature;fittings;bld)accesories
армеец|army man
армейский нож|swiss army knife
армейский|army
армения|armenia
армия|army
армонк|armonk
армстронг|armstrong
армянин|armenian
армянка|armenian
армянский|armenian
арнольд|arnold
арность|arity
аромат|aroma;fragrance
ароматический|aromatic;fragrant
ароматичный|aromatic;fragrant
ароматный|aromatic;fragrant
аронник|arum
арочный|arched
арпеджио|arpeggo
арсенал|arsenal
арсенид|arsenide
арси|arcie
артезианский колодец|artesian well
артезианский|artesian
артель|artel
артельный|artel
