абажур|lampshade, shade
анализировать|analyse
аналитический|analytic(al)
аналогичный|analogous, parallel
аналогия|analogy
аналоговый|analogue
ананас|pineapple
анархист|anarchist
анархический|anarchic
анархия|anarchy
анатомический|anatomical
анатомия|anatomy
анахронизм|anachronism
ангар|hangar
ангел|angel
ангельский|angelic
англизировать|anglicize
англиканин|Anglican
англичане|English
англичанин|Englishman
англичанка|Englishwoman
англоговорящий|English, English-speaking
англосакс|Anglo-Saxon
Ангола|Angola
анголец|Angolan
Андорра|Andorra
Анды|Andes
анемичный|anaemic
анестезиолог|anaesthetist
анисовый|aniseed
Анкара|Ankara
анкета|questionnaire
анклав|enclave
аннексировать|annex
аннексия|annexation
аннотация|abstract
аннотировать|annotate
аннулирование|annulment
аннулировать|annul, nullify, rescind
анод|anode
аномалия|abnormality, anomaly
аномальный|anomalous
анонимка|poison-pen letter
анонимность|anonymity
анонимный|anonymous
анорексия|anorexia
ансамбль|ensemble
антагонизм|antagonism
Антарктида|Antarctica
Антарктика|Antarctic
Антверпен|Antwerp
антенна|antenna
антибаллистический|antiballistic
антибиотик|antibiotic
антигистамин|antihistamine
антиквар|antique dealer
антикварный|antique
антилопа|antelope
антиобледенитель|de-icer
антиобщественный|antisocial
антипатия|antipathy
антиподный|Antipodean
антисанитарный|insanitary
антисемитизм|anti-Semitism
антисемитский|anti-Semitic
антисептический|antiseptic
антитеза|antithesis
антитело|antibody
антифриз|antifreeze
античность|antiquity
античный|antique
антология|anthology
антракт|interlude, interval
антрополог|anthropologist
антропология|anthropology
анчоус|anchovy
апартаменты|suite
апартеид|apartheid
апатичный|apathetic
апатия|apathy
Апеннины|Apennines
аперитив|aperitif, appetizer
аплодировать|applaud
аплодисменты|applause, clapping
аполитичный|apolitical
апоплексический|apoplectic
апоплексия|apoplexy
апостол|apostle
апостроф|apostrophe
апофеоз|apotheosis
Аппалачи|Appalachian Mountains
аппарат|apparatus
аппаратура|apparatus
аппендикс|appendix
аппендицит|appendicitis
апперкот|uppercut
аппетит|appetite
аппетитный|appetizing
апрель|April
апробировать|pilot
апсида|apse
аптека|chemist~s (shop), dispensary, dispensing chemist, drugstore, pharmacy
аптекарь|druggist
аптечка|medicine chest
араб|Arab
арабский|Arabian
Аравия|Arabia
аранжировка|arrangement
арахис|monkey nut, peanut
арбитр|arbiter
арбитраж|arbitration
арбуз|watermelon
Аргентина|Argentina
аргентинец|Argentinian
аргумент|argument
арена|bullring, ring
аренда|hire
арендатор|lessee
арендованный|leasehold
арендовать|lease
арестовывать|arrest
аристократ|aristocrat
аристократический|aristocratic
аристократичный|aristocratic
аристократия|aristocracy, landed gentry
арифметический|arithmetical
ария|aria
аркада|arcade
арканить|lasso
Арктика|Arctic
Армения|Armenia
армия|army
армянин|Armenian
аромат|aroma, savour
ароматизировать|perfume
ароматный|aromatic
аромотерапия|aromatherapy
арпеджио|arpeggio
арсенал|armoury, arsenal
артериальный|arterial
артерия|artery
артикль|article
артиллерист|gunner
артиллерия|artillery
артист|artist
артишок|artichoke
артрит|arthritis
артритический|arthritic
арфист|harpist
архаический|archaic
архангел|archangel
Архангельск|Archangel
археолог|archaeologist
археологический|archaeological
археология|archaeology
архи|arch
архив|archive, archives
архивариус|archivist
архиепископ|archbishop
архипелаг|archipelago
архитектор|architect
архитектура|architecture
архитектурный|architectural
арьергард|rearguard
асбест|asbestos
асимметричный|asymmetrical
аскетизм|asceticism
аскетический|ascetic
аспект|dimension, point
аспид|asp
аспирантура|postgraduate
аспирин|aspirin
асс|care
ассигнование|allocation
ассигновать|budget
ассимилироваться|assimilate
ассимиляция|assimilation
ассистент|assistant
ассортимент|assortment, range
ассоциация|association, guild
ассоциировать|associate
астероид|asteroid
астигматизм|astigmatism
астма|asthma
астматик|asthmatic
астролог|astrologer
астрология|astrology
астроном|astronomer
астрономический|astronomical
астрономия|astronomy
астрофизика|astrophysics
асфальт|asphalt, tarmac
асфальтировать|tarmac
атака|attack
атаковать|assault, attack
атеизм|atheism
атеист|atheist
атлас|atlas
атласный|satin
Атласские горы|Atlas Mountains
атлетический|athletic
атмосфера|ambience, atmosphere
атмосферный|atmospheric
атолл|atoll
атом|atom
атомный|atomic
атрофироваться|atrophy
атташе|attache
аттракцион|sideshow
аттракционы|attraction
аттрибуты|trappings
аудиенция|audience
аукционист|auctioneer
аутсайдер|outsider
афганец|Afghan
Афганистан|Afghanistan
Афины|Athens
афинянин|Athenian
афоризм|aphorism
Африка|Africa
африканец|African
ацетат|acetate
ацетиленовый|oxyacetylene
Ашхабад|Ashkhabad
аэробика|aerobics, keep fit
аэровокзал|air terminal, terminal
аэродинамический|aerodynamic
аэродинамичный|sleek
аэродром|aerodrome, airfield
аэрозоль|aerosol, spray
аэронавтика|aeronautics
аэропорт|airport
аэростат|balloon
аэрофотосъемка|aerial
баба|broad
бабки|bread
бабочка|bow tie, butterfly
бабуин|baboon
бабушка|grandma, grandmother, granny
баварец|Bavarian
Бавария|Bavaria
багаж|baggage, luggage
багажник|rack, roof rack
Багдад|Baghdad
бадминтон|badminton
база|base
Базель|Basle
базилик|basil
байка|flannelette, yarn
Байкал|Baikal
байт|byte
бак|tank, urn
бакалейщик|grocer
бакалея|groceries
бакен|buoy
бакенбарды|sideburns, whiskers
баклажан|aubergine, eggplant
баклан|cormorant
бактерии|bacteria
бактериологический|biological
бактериология|bacteriology
Баку|Baku
бал|ball
баланс|balance
балансировать|balance
балдеть|cock-a-hoop
балерина|ballerina
балет|ballet
балка|beam, joist
балканский|Balkan
Балканы|Balkan
балкон|balcony, gallery
баллада|ballad
балласт|ballast
баллистика|ballistics
баллистический|ballistic
баловать|cosset, pamper
баловаться|dabble, indulge
Балтийское|Baltic
бальзам|balsam
бальзамировать|embalm
балюстрада|balustrade
бамбук|bamboo
банальность|platitude
банальный|banal
банан|banana
Бангкок|Bangkok
Бангладеш|Bangladesh
бангладешский|Bangladeshi
банда|gang
банджо|banjo
бандит|bandit, ruffian, thug
банк|bank
банка|pot, tin
банкет|banquet, bun fight
банкир|banker
банкнота|banknote, bill, note
банкрот|bankrupt
бант|bow
баптист|Baptist
бар|bar, cocktail cabinet, saloon
барабанить|drum, patter
баран|sheep
баранина|lamb, mutton
барахлить|haywire
барахолка|flea market
барахтаться|flounder, wallow
барашки|surf
Барбадос|Barbados
барбекю|barbecue
барбитурат|barbiturate
баржа|barge
баритон|baritone
бармен|barman, bartender
барометр|barometer
барон|baron
баронесса|baroness
баронет|baronet, Bart.
баррель|barrel
баррикадировать|barricade
баррикадироваться|barricade
Барселона|Barcelona
барственный|lordly
бартер|barter
бархатистый|mellow
бархатный|velvet
барьер|barrier
баск|Basque
баскетбол|basketball
баскетболист|basketball player
басня|fable
басовый|bass
бассейн|basin, pool
бастовать|strike
батальон|battalion
батарейка|battery
баттерфляй|butterfly
Бахрейн|Bahrain
бахрома|fringe, tassel
башенка|turret
башмак|brogue
бдение|vigil
бдительность|vigilance
бдительный|vigilant, watchful
бег|run, running
бегающий|shifty
беглец|fugitive
бегло|briefly, fluently
беглость|fluency
беглый|cursory, runaway
бегство|flight
бегун|jogger, runner
бедлам|bedlam
беднее|worse off
бедность|poverty
беднота|poor
бедный|deprived, poor
бедняжка|thing
бедро|haunch, hip, thigh
бедственный|parlous
бедствие|calamity
бежать|escape, rush
бежевый|beige
беженец|refugee
без|without
безалкогольный|alcohol-free, nonalcoholic
безбилетник|stowaway
безболезненный|painless
безвестность|obscurity
безвкусный|tasteless, tawdry
безводный|arid
безвозвратный|irretrievable
безвредный|innocuous
безвременный|untimely
безвыходный|inextricable
безгранично|overwhelmingly
безграничный|boundless, unbounded
бездейственный|defunct, shiftless
бездействие|inaction
бездействовать|dormant, idle
безделушка|bauble, trinket
безделушки|bric-a-brac, knick-knacks
безделье|idleness
бездельник|bum, layabout, waster
бездельничать|laze
бездеятельность|inactivity
бездомные|homeless
бездомный|down-and-out
бездонный|bottomless
бездумность|thoughtlessness
бездумный|inconsiderate, mindless, unthinking
бездушие|callousness
бездушный|callous
бездыханный|breathless
безе|meringue
безжалостный|pitiless, unmerciful
безжизненный|glassy, lifeless
беззаботность|carelessness
беззаботный|carefree, sheltered, unconcerned
беззаконный|lawless
беззащитный|defenceless
безликий|anonymous, faceless, impersonal
безмозглый|brainless
безмолвный|silent, speechless
безмятежность|complacency, serenity, tranquillity
безмятежный|complacent, serene, tranquil, undisturbed
безнадёжный|hopeless
безнаказанно|impunity
безногий|legless
безнравственность|immorality
безобидный|harmless, innocuous, inoffensive
безобразник|scamp
безобразный|ghastly
безоговорочно|implicitly
безоговорочный|implicit, unconditional
безопасности|inertia-reel seat belt
безопасность|safety, security
безопасный|eco-friendly, safe, secure
безоружный|unarmed
безответственный|feckless, irresponsible
безотлагательность|immediacy, urgency
безотлагательный|immediate
безработица|unemployment
безработные|jobless, unemployed
безработный|idle, jobless, out-of-work
безрадостный|bleak
безразличный|matter-of-fact, unresponsive
безрассудно|recklessly
безрассудный|foolhardy, reckless
безудержный|abandoned, uncontrolled
безумие|lunacy, madness
безумно|madly
безумный|frantic, insane, manic
безупречно|perfectly
безупречный|faultless, flawless, immaculate, impeccable, irreproachable, perfect, pristine
безусловно|absolutely
безусловный|unconditional
безуспешно|unsuccessfully
безуспешный|unrewarded, unsuccessful
безутешный|inconsolable
безымянный|nameless, unnamed
безыскусный|artless
Бейрут|Beirut
бейсбол|baseball
бекон|bacon
Беларусь|Belarus
Белград|Belgrade
белиберда|claptrap, hocus-pocus
Белиз|Belize
белизна|whiteness
белить|whitewash
белка|squirrel
беллетризировать|fictionalize
беллетристический|fictional
беловатый|off-white
белок|albumen, white
белорус|Belorussian
Белоруссия|Belorussia, Byelorussia
белорусский|Belorussian
Белфаст|Belfast
белый|white
бельгиец|Belgian
Бельгия|Belgium
бельё|linen, undies
бельэтаж|dress circle
бемоль|flat
бенгалец|Bengali
бенгальский|Bengali
бенефициарий|beneficiary
бензин|gas, gasoline, juice, petrol
бензобак|fuel tank, gas tank, petrol tank
бензоколонка|petrol pump, pump
бензонасос|petrol pump
Бенилюкс|Benelux
берег|bank
береговая|winkle
бережливость|thrift
бережливый|frugal, thrifty
берёза|birch
беременная|pregnant
беременность|pregnancy
берет|beret
беречь|reserve
Берлин|Berlin
бермуды|Bermuda shorts
Берн|Bern
беседа|chat, talk
беседка|summerhouse
беседовать|converse
бесёнок|imp
бесить|enrage, madden
беситься|amok, mad
бескамерный|tubeless
бесклассовый|classless
бескомпромиссный|uncompromising
бесконечно счастливый|blissfully
бесконечно|immensely, indefinitely, infinitely
бесконечность|infinity
бесконечный|endless, infinite, interminable, unstinting
бескорыстный|disinterested, unselfish
бескрайний|endless
бескровный|bloodless
бесноваться|amok
беспечно|blithely
беспечный|airy, happy-go-lucky, light-hearted, nonchalant
бесплатно|charge, foc
бесплатный|toll-free, unpaid
бесплодие|infertility, sterility
бесплодность|futility
бесплодный|barren, fruitless, futile, infertile, sterile
бесповоротный|irrevocable
бесподобный|priceless
беспозвоночное|invertebrate
беспокоить|bother, trouble, worry
беспокоиться|concern
беспокойно|restlessly
беспокойный|anxious, fidgety, fretful, restless, troubled, unsettled
беспокойство|bother, disquiet, trouble
бесполезный|useless
беспомощно|helplessly
беспомощность|incapacity
беспомощный|helpless, incapable
беспорядки|disturbance, riot
беспорядок|mess, muddle
беспорядочный|erratic, indiscriminate
беспосадочный|nonstop
беспошлинный|duty-free
беспощадность|ruthlessness
беспощадный|cutthroat, merciless, swingeing
беспредельный|endless, limitless
беспрекословный|unquestioning
беспрепятственно|unchecked
беспрерывно|nonstop
беспрерывный|nonstop, unceasing
беспрецедентный|unprecedented
беспризорник|urchin
беспринципный|unprincipled
беспристрастие|impartiality
беспристрастный|detached, even-handed, impartial, unbias(s)ed
беспричинный|wanton
бессвязный|disconnected, disjointed
бессердечный|hardhearted, heartless
бессилие|impotence
бессильно|limply
бессильный|impotent, limp, powerless
бессистемный|haphazard
бессмертный|immortal, undying
бессмысленный|fatuous, gratuitous, inane, meaningless, nonsensical, pointless, senseless
бессовестный|unscrupulous
бессонница|insomnia, sleeplessness
бессонницей|insomniac
бессонный|sleepless
бесспорно|unquestionably
бессрочник|lifer
бесстрастный|dispassionate, impassive, stolid
бесстрашный|dauntless, fearless
бесстыдный|barefaced, shameless, unashamed
бесстыжий|brazen
бестактно|tactlessly
бестактный|maladroit, tactless
бестолковый|muddleheaded, obtuse
бестселлер|bestseller
бесформенный|shapeless
бесхитростный|guileless, ingenuous, unsophisticated
бесхребетный|spineless
бесцветный|insipid
бесцельно|aimlessly
бесцельный|aimless
бесценный|priceless
бесцеремонный|brusque, unceremonious
бесчеловечный|inhuman
бесчестие|infamy
бесчестный|dishonourable, infamous
бесчестье|dishonour
бесчинства|riot
бесчинствовать|riot
бесчинствующий|riotous
бесчисленный|innumerable, umpteen
бесчувственность|insensitivity
бесчувственный|insensitive
бесшумный|noiseless, quiet, silent, unobtrusive
бетономешалка|cement mixer
бешенство|fury, infuriating
бешеный|mad, rabid
библейский|biblical
библиография|bibliography
библиотека|library
Библия|Bible
бивак|bivouac
бивень|tusk
бигамия|bigamy
бигамный|bigamous
бигуди|curler, roller
биде|bidet
биение|beat, pulse, throb
бижутерия|costumejewellery
бизнес|business
бизнесмен|businessman
бизон|buffalo
бикини|bikini
билет|ticket
билетёрша|usherette
биллион|billion
бильярд|billiards
бинокль|binoculars
бинтовать|bandage
био|bio...
биограф|biographer
биографический|biographic(al)
биолог|biologist
биологический|biological
биология|biology
биопсия|biopsy
биосфера|biosphere
биотехнология|biotechnology
биофизика|biophysics
биржа|commodity exchange
бирка|label, tag
Бирма|Burma
бирманец|Burmese
Бирмингем|Birmingham
бирмингемец|Brummie
бирюзовый|turquoise
бирючина|privet
бисексуальный|bisexual
бистро|bistro
бит|bit
бита|bat
биток|rissole
битум|bitumen
бить|batter, beat, strike
биться|shatter, throb
бифштекс|steak
бифштексная|steakhouse
бицепс|biceps
бич|beachcomber, scourge
благо|boon
Благовещение|Annunciation
благоговение|awe
благодарить|thank
благодарно|gratefully
благодарности|acknowledgement
благодарность|commendation, gratitude, thanks
благодарный|grateful, thankful
благодаря|virtue
благодатный|heaven-sent, salubrious
благодать|blessing, godsend
благодетель|benefactor, do-gooder
благодетельница|benefactress
благой|merciful
благополучие|welfare, well-being
благополучно|safely
благополучный|affluent, safe
благопристойность|decency, decorum
благоприятный|auspicious, favourable, hospitable
благоприятствовать|favour
благоразумие|prudence
благоразумный|judicious, prudent, right-minded
благородно|nobly
благородный|honourable, noble, sterling
благородство|nobility
благословение|blessing
благословлять|bless
благосостояние|affluence
благотворитель|benefactor
благотворительница|benefactress
благотворительность|welfare work
благотворительный|benevolent
благотворный|beneficial
благоухание|fragrance
благочестивый|devout
благочинный|sanctimonious
блаженно|blissfully
блаженный|blessed, blissful
блаженство|bliss
бланк|headed notepaper
бланковый|blanket cover
бланманже|blancmange
бледнеть|pale
бледность|paleness, pallor
бледный|pallid
блёклый|insipid
блеск|glint, glitz, gloss, lustre
блестеть|glisten, shine, sparkle
блёстка|sequin
блестяще|brilliantly
блестящий|bright, brilliant, glittering, glowing, illustrious, luminous, scintillating, shining, shiny, sparkling
блеф|bluff
блеяние|bleat
ближайший|immediate
ближе|nearer
ближние|fellow men
близкий|intimate
близлежащий|surrounding
Близнецы|Gemini
близорукий|myopic, near-sighted, short-sighted
близорукость|short-sightedness
близость|nearness, proximity, togetherness
блин|crumpet, pancake
блистательный|crowning, resplendent
блок|bloc, unit
блокиратор|wheel clamp
блокирование|blockage
блокировать|block, blockade
блокнот|jotter, notepad, pad, scratch pad
блондинка|blond(e)
блоха|flea
блошки|tiddlywinks
блудный|prodigal
блуждать|stray, wander
блуждающий|wandering
блуза|smock
блузка|blouse, shirt
блэкджек|blackjack
блюдечко|limpet
блюдо|platter
блюдце|saucer
блюз|blue
бляха|badge
боб|bean
бобина|reel, spool
бобовые|pulse
бобр|beaver
бобслей|bobsleigh
богатство|fertility, opulence, riches, richness, wealth
богатый|fertile, opulent, rich
богемец|Bohemian
Богемия|Bohemia
богиня|goddess
богобоязненный|God-fearing
Богородица|virgin
Богота|Bogota
боготворить|idolize
богохульник|blasphemous
богохульный|blasphemous, profane
бод|baud
бодать|butt
бодрость|pep
бодрый|sprightly, spry
бодрящий|bracing, invigorating
боевик|blockbuster
боевой|live
боеголовка|warhead
боеприпасы|ammunition, munitions, supply
боец|fighter
божественность|divinity
божество|deity
бой|breakage, fight, fighting, roll
бойкий|glib, jaunty, rumbustious
бойко|glibly
бойкотировать|black, boycott
бойлер|immersion heater
бойня|bloodbath
бойскаут|boy scout
бок|flank, side
бокал|tumbler, wine glass
боковой|glancing, lateral
боком|sideways
бокс|boxing
боксёр|boxer
боксит|bauxite
болван|blockhead, chump
болгарин|Bulgarian
Болгария|Bulgaria
более|above, than
болезни|teething troubles
болезнь|condition, disease, illness, Parkinson's, sickness
болельщик|supporter
болеть|ache
болеутоляющее|painkiller
боливиец|Bolivian
Боливия|Bolivia
болиголов|hemlock
болонка|lapdog
болота|fen
болотистый|marshy, swampy
болото|backwater, marsh
болтать|dangle, gossip, ramble, swing
болтаться|dangle
болтливый|glib
болтовня|chat, chitchat, tittle-tattle
болтун|talker
боль|ache, pain, soreness
больница|hospice, hospital, infirmary
больной|ailing, diseased, ill, sick, touchy
больше|beyond, more
большинство|most, overall majority
большой|ample, big, great, large
бомбардировать|bombard
бомбардировка|bombardment
бомбардировщик|bomber
бомбёжка|blitz
бомбить|bomb
Бонн|Bonn
бордо|claret
бордюр|border, kerb
борец|campaigner, crusader, fighter, wrestler
борзая|greyhound
бормотать|mumble, mutter
Борнео|Borneo
боров|boar
борода|beard
бородавка|wart
бородатый|bearded
борона|harrow
бороться|fight, struggle, wrestle
борт|rail
бортпроводник|steward
борьба|strife, struggle, wrestling
босиком|barefoot
Босния|Bosnia
Босфор|Bosphorus
ботаник|botanist
ботаника|botany
ботанический|botanical
ботинок|boot
Ботсвана|Botswana
ботулизм|botulism
боцман|boatswain, bosun
бочка|barrel, butt, tub
бочонок|cask, keg
боязливо|fearfully
боязливый|fearful
боязнь|fear
боярышник|hawthorn
бояться|afraid, dread, fear, frightened
бравада|bravado
браво|bravo
бражничать|carouse
бразилец|Brazilian
Бразилия|Brasilia, Brazil
брак|marriage, reject
бракованный|waste
браконьер|poacher
брандспойт|nozzle, water cannon
брань|abuse, abusive
браслет|bangle, bracelet, wristband
брасс|breast-stroke
брат|brother
Братислава|Bratislava
братский|brotherly, fraternal
братство|brotherhood, fraternity
брать|assume, take
брачный|connubial, nuptial
бревно|log
бред|delirium, ravings
бредить|rave
бредовый|nutty
брезгливый|squeamish
брезент|tarpaulin
брейк|break-dancing
брелок|keyring
Бремен|Bremen
бремя|burden
бренди|brandy
бренчать|jangle
брести|trundle
Бретань|Brittany
бретелька|shoulder strap, strap
бретонец|Breton
брешь|breach, hole
бригада|brigade
бригадир|brigadier
бридж|bridge
бриджи|plus fours
бриз|breeze
брикет|brick
британец|Brit, Briton
Британия|Britain
британский|British
британцы|British
бритва|razor, shaver
бритоголовый|skinhead
бритый|shaven
бритьё|shaving
бриться|shave
брифинг|briefing
бровь|brow
бродить|brew, ferment, meander, ramble, wander
бродяга|bum, drifter, hobo, tramp, vagabond, vagrant
бродяги|flotsam
бродяжничество|vagrancy
бродячий|peripatetic, wandering
брожение|fermentation
бройлер|broiler
брокер|broker
брокераж|brokerage
брокколи|broccoli
бронемашина|armoured car
бронесилы|armour
бронза|bronze
бронировать|book, reservation, reserve
бронхит|bronchitis
броня|armour
бросать|abandon, jilt, quit, throw
бросаться|plunge
броский|bold, flamboyant, ostentatious, showy, snappy
бросок|lurch, plunge
брошь|brooch
брошюра|booklet, brochure, folder, pamphlet
брусок|bar, cake
брусчатка|paving stone
брызгать|squirt
брызгаться|spatter
брызги|spray
брыкаться|buck
брюзга|grouch
брюква|swede
брюки|pants, trousers
брюнетка|brunette
Брюссель|Brussels
брюхо|beer belly, belly
брюшко|paunch
брюшной|abdominal
бубнить|rumble
бубны|diamond
бугор|hump
бугристый|knobbly, lumpy
Будапешт|Budapest
Будда|Buddha
буддизм|Buddhism
буддист|Buddhist
будильник|alarm clock
будить|arouse, rouse
будка|booth
будний|weekday
буднично|informally
будущее|future
будущий|prospective
бузина|elder
буйвол|buffalo
буйный|blustering, exuberant, luxuriant, rowdy, tempestuous, wild
буйство|rowdiness, rowdyism
буйствовать|riot
бук|beech
бука|bogey
букашка|creepy-crawly
буква|letter
буквально|literally
буквальный|literal
букет|bouquet, bunch
букетик|posy
букмекер|bookmaker, turf accountant
булава|mace
булавка|pin
булимия|bulimia
булла|bull
булочка|muffin, roll
булочная|baker, bakery
булыжники|cobbles
бульвар|boulevard
бульдог|bulldog
бульдозер|bulldozer
бульон|stock
бумага|paper
бумажки|bumf
бумажная|paper profit
бумажник|billfold, notecase, pocketbook, wallet
бунгало|bungalow
бункер|bunker, hopper
бунтарь|rebel
бунтовать|mutiny
бунтующий|rebellious
буравчик|gimlet
буран|snowdrift
бурбон|bourbon
бургер|burger
Бургундия|Burgundy
бурелом|windbreak
бурение|drilling
буржуа|bourgeois
бурить|bore, drill
бурно|wildly
бурный|furious, riotous, rousing, stormy, tempestuous, torrid, tumultuous, turbulent, wild
бурундук|chipmunk
бурчание|grunt
бурчать|rumble
буря|storm, tempest
бусина|bead
бусы|bead
бут|rubble
бутан|butane
бутерброд|open sandwich
бутса|boot
бутылка|bottle
бутылочка|feeding bottle
бутыль|flagon
буфер|buffer
буфет|buffet, sideboard, tuck shop
буфетная|pantry
буфетчица|barmaid
буффонада|razzmatazz
Бухарест|Bucharest
бухгалтер|accountant, costaccountant
бухгалтерия|accountancy
бухта|bay
бухточка|cove
бушевать|rage
бушель|bushel
бушующий|raging
БЦЖ|BCG
бывший|erstwhile, former, late, one-time
бык|bull, ox
быстренько|sharpish
быстро|fast, quickly
быстрота|quickness
быстрый|fast, quick, snappy, speedy
быть|be, liking
Бэйсик|BASIC
бювар|blotter
бюллетень|bulletin
бюро|bureau, employment agency, Jobcentre
бюрократ|bureaucrat
бюрократизм|bureaucracy
бюрократический|bureaucratic
бюрократия|bureaucracy, officialdom
бюстгальтер|brassiere
в|in, out
вeщи|stuff
вoнь|pong
Вадуц|Vaduz
важнейший|momentous
важно|importantly
важность|importance
важный|big, important
ваза|vase
вазектомия|vasectomy
вазелин|petroleum jelly, Vaseline
вакансия|opening, vacancy
вакантный|vacant
вакцина|vaccine
вал|breaker, shaft
валет|jack
валик|bolster, platen, roller
валиться|slump
Валлетта|Valletta
валлийцы|Welsh
валторна|horn
валун|boulder, rock
валюта|foreign exchange
валяться|wallow
вампир|vampire
вандал|vandal
вандализм|vandalism
ваниль|vanilla
ванна|bathtub, tank, tub
ванная|bathroom
варварский|barbaric, barbarous
варенье|conserve, jam
вариант|option, variant, version
вариация|variation
вариться|stew
Варшава|Warsaw
варьете|variety show
вата|cottonwool
ватервейс|waterway
ватерлиния|waterline
ватерпас|spirit level
Ватикан|Vatican
ватт|watt
ваучер|voucher
вафельница|waffle iron
